planner_type,success,time_sec,iterations,nodes,quantum_calls,quantum_successful_extensions,invalid_random_targets,empty_candidate_sets,goal_sample_hits,duplicate_rejections,invalid_chosen_state_rejections,invalid_chosen_edge_rejections,candidate_count_total,candidate_count_nonempty_iters,avg_candidate_count,marked_set_size_total,grover_rounds_total,avg_marked_set_size,initial_score_total,selected_score_total,avg_initial_score,avg_selected_score,grover_improvements,path_waypoints,bins_per_joint,total_grid_states,q_start,q_goal,start_idx_raw,goal_idx_raw,start_idx,goal_idx,seed,max_iters,goal_sample_rate,goal_radius_idx,quantum_candidates,quantum_iters,quantum_shots,quantum_use_ibm,quantum_backend,quantum_target_weight,quantum_goal_weight,quantum_best_rounds,quantum_score_margin
qrrt_grid,True,37.15458870003931,124,92,90,90,34,0,10,0,0,0,6356,90,70.62222222222222,4572,200,22.86,-20.017655176123796,64.58510297576638,-0.22241839084581996,0.717612255286293,72,16,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",18,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,41.456457280088216,144,105,103,103,41,0,10,0,0,0,6961,103,67.58252427184466,5363,210,25.538095238095238,-44.46743778412613,60.77857373824604,-0.43172269693326343,0.590083240177146,73,17,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",19,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,187.85922610387206,808,485,483,483,246,79,85,0,0,0,33558,483,69.47826086956522,24777,1038,23.86994219653179,-173.77828429006988,236.791890939001,-0.3597894084680536,0.4902523621925487,364,16,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",22,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,26.72996532614343,92,70,68,68,24,0,11,0,0,0,4414,68,64.91176470588235,2996,147,20.38095238095238,-18.77132394920131,45.50176728164877,-0.27604888160590163,0.6691436364948348,53,16,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",23,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,52.480309416074306,172,118,116,116,56,0,25,0,0,0,7757,116,66.87068965517241,6350,254,25.0,-64.62299675188223,56.647062113414236,-0.5570947995851916,0.4883367423570193,87,16,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",25,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,52.664204319007695,142,109,107,107,35,0,21,0,0,0,6866,107,64.16822429906541,5490,215,25.53488372093023,-54.77689465366451,39.393499926254876,-0.5119335948940609,0.3681635507126624,71,17,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",26,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,35.03093976806849,94,72,70,70,24,0,12,0,0,0,4828,70,68.97142857142858,3448,152,22.68421052631579,-24.295431943777515,42.23030624037719,-0.34707759919682163,0.6032900891482456,52,16,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",31,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,25.019870858173817,68,53,51,51,17,0,8,0,0,0,3717,51,72.88235294117646,2606,108,24.12962962962963,-15.677731418952527,38.19867111809004,-0.3074064984108339,0.7489935513350988,39,16,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",38,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,28.725204907823354,92,70,68,68,24,0,19,0,0,0,4541,68,66.77941176470588,2885,140,20.607142857142858,-23.379487010485906,34.51174591265316,-0.34381598544832215,0.5075256751860759,50,17,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",39,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,165.04581203614362,730,441,439,439,233,58,85,0,0,0,29416,439,67.00683371298406,22691,961,23.611862643080126,-193.36597301549295,189.03197678956664,-0.4404691868234464,0.4305967580627942,337,21,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",40,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
